transaction_id,channel,country,amount_eur,hour_of_day,previous_transactions_24h,fraud_flag
1,Online,IT,83.95,13,1,0
2,Online,FR,10.12,2,1,0
3,Mobile,NL,26.96,10,1,0
4,Online,IT,44.8,13,1,0
5,POS,BE,51.58,5,1,0
6,Mobile,ES,37.18,3,0,0
7,Mobile,NL,138.27,5,1,0
8,Mobile,DE,9.06,1,0,0
9,Online,DE,26.04,5,2,0
10,Mobile,ES,6.12,12,0,0
11,Mobile,ES,61.64,19,0,0
12,Online,ES,57.66,20,0,0
13,Mobile,FR,942.56,16,1,0
14,Online,DE,92.42,8,3,0
15,POS,DE,46.13,22,3,0
16,Mobile,DE,42.73,22,2,0
17,POS,NL,24.13,8,2,0
18,Online,ES,37.73,0,1,0
19,Online,ES,43.65,10,2,0
20,Mobile,ES,4.64,11,2,0
21,Online,IT,40.32,16,1,0
22,POS,ES,36.64,3,1,0
23,Mobile,DE,191.33,13,2,1
24,Mobile,DE,29.03,7,0,0
25,Mobile,NL,15.4,11,0,0
26,POS,ES,43.32,0,0,0
27,Online,IT,35.67,12,0,0
28,Mobile,ES,29.06,0,0,0
29,POS,FR,9.22,20,3,0
30,POS,DE,28.33,17,2,0
31,Mobile,FR,18.56,22,3,1
32,Mobile,DE,26.67,15,2,0
33,POS,NL,68.87,23,0,0
34,Online,FR,16.87,5,1,0
35,Online,DE,26.54,0,0,0
36,POS,ES,56.89,21,0,0
37,Online,IT,25.29,15,5,0
38,Online,DE,449.97,16,1,0
39,Mobile,NL,42.47,6,0,0
40,Online,IT,9.56,8,1,0
41,Mobile,DE,14.31,16,1,0
42,POS,DE,12.94,9,0,0
43,Mobile,IT,14.51,1,1,0
44,Online,IT,56.65,7,2,0
45,POS,BE,10.95,9,1,0
46,Mobile,NL,23.78,19,0,0
47,POS,ES,103.83,8,1,0
48,Mobile,ES,19.69,11,2,0
49,Mobile,FR,64.81,14,2,0
50,Mobile,BE,6.15,3,1,0
51,POS,BE,22.86,13,1,0
52,POS,BE,13.65,4,0,0
53,Online,BE,44.69,21,2,0
54,Online,IT,11.77,7,1,0
55,Online,NL,262.34,7,1,0
56,Online,NL,6.43,9,2,0
57,Mobile,NL,103.11,8,1,0
58,Online,NL,79.7,14,3,0
59,POS,FR,45.14,17,3,0
60,POS,NL,34.97,23,2,0
61,Online,DE,211.66,21,1,1
62,Mobile,BE,391.88,6,3,0
63,Mobile,IT,26.92,14,1,0
64,Online,ES,38.77,7,0,0
65,Online,DE,19.06,19,0,0
66,Online,NL,10.29,0,1,0
