Customer_ID,Age,Gender,Region,Tenure_Months,Annual_Spend,Promo_Used,Customer_Service_Calls,Churned
1,56,Female,South,58,2393.95,1,3,0
2,69,Male,South,28,4853.96,1,4,0
3,46,Male,North,36,4569.16,1,4,0
4,32,Male,East,26,3768.5,1,1,0
5,60,Male,South,8,2867.84,1,3,0
6,25,Male,South,58,4476.32,1,2,0
7,38,Male,South,50,2336.7,1,3,0
8,56,Female,North,28,3982.82,1,2,0
9,36,Female,West,28,3506.33,1,7,0
10,40,Male,South,37,2992.93,1,2,1
11,28,Female,West,41,4951.04,1,9,0
12,28,Female,East,36,3966.95,1,3,0
13,41,Female,South,27,4139.17,1,7,1
14,53,Female,South,54,4726.3,1,5,1
15,57,Male,East,17,3992.97,1,6,0
16,41,Female,South,9,4361.13,1,6,0
17,20,Female,West,33,4652.68,1,4,0
18,39,Male,North,53,4453.4,0,4,0
19,19,Male,West,20,4228.78,0,4,0
20,41,Female,North,13,5426.49,0,4,0
21,61,Female,North,28,4993.58,1,0,0
22,47,Female,West,48,3931.39,0,3,0
23,55,Female,West,29,3272.25,0,5,1
24,19,Female,West,13,4510.9,0,4,0
25,38,Female,West,46,4172.69,0,6,0
26,50,Male,East,35,5367.2,0,5,1
27,29,Female,South,6,4789.99,1,9,1
28,39,Female,North,18,4611.36,1,2,1
29,61,Male,West,51,4010.36,0,3,1
30,42,Male,West,5,3299.44,0,3,1
31,66,Male,West,47,3841.63,0,4,0
32,44,Male,East,25,4381.46,0,7,0
33,59,Female,West,2,2616.34,1,2,1
34,45,Female,West,10,4993.37,1,6,0
35,33,Female,West,56,5653.64,0,3,0
36,32,Female,South,30,2444.05,1,5,1
37,64,Female,East,50,2879.83,0,5,1
38,68,Female,West,59,4183.73,1,3,0
39,61,Male,North,45,3533.94,1,4,0
40,69,Female,North,5,4208.73,1,3,0
41,20,Male,North,55,3942.66,0,1,0
42,54,Male,East,56,3180.95,1,3,1
43,68,Female,East,33,5030.73,0,1,0
44,24,Male,North,54,4371.61,0,3,0
45,38,Female,West,1,3552.21,0,4,0
46,26,Male,East,18,5204.02,0,4,0
47,56,Female,North,32,3593.28,1,5,0
48,35,Male,North,47,3006.53,1,1,0
49,21,Female,West,49,4146.81,0,5,1
50,42,Female,South,11,4282.53,1,3,0
51,31,Female,East,21,4425.53,1,3,1
52,67,Female,West,26,4557.08,1,7,0
53,26,Female,North,25,4412.9,1,0,0
54,43,Male,North,22,4380.39,1,4,0
